Item,Description,Quantity,Unit Price,Shipping,Total price,Total price ($),product link
GT2 teethed pulley,"5 pack, only need 3",1,"3,19€",0€,"3,19€","$3,69",https://www.aliexpress.com/item/32781681772.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.19%21EUR%203.19%21%21EUR%203.19%21%21%21%40210388c917783391297743632e83aa%2112000044304854987%21ct%21FR%214694032608%21%211%210%21
"1/4"" nut","20 pack, need 1",1,"4,09€",0€,"4,09€","$4,73",https://www.aliexpress.com/item/1005009774349007.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.09%21EUR%204.09%21%21EUR%204.09%21%21%21%40210388c917783391297743632e83aa%2112000050121395591%21ct%21FR%214694032608%21%211%210%21
GT2 belt,5 meters 6mm,1,"11,69€",0€,"11,69€","$13,53",https://www.aliexpress.com/item/1005010116034089.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2016.70%21EUR%2011.69%21%21EUR%2011.69%21%21%21%40210388c917783391297743632e83aa%2112000051199284261%21ct%21FR%214694032608%21%211%210%21
"1/2"" 1/4"" screw","UNC screws, for camera, only need 1",1,"2,09€",0€,"2,09€","$2,42",https://www.aliexpress.com/item/1005005237204588.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.68%21EUR%202.09%21%21EUR%202.09%21%21%21%40210388c917783391297743632e83aa%2112000032316669621%21ct%21FR%214694032608%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
"2"" 1/4"" screw","UNC screws, for tripod, only need 1",1,"4,09€",0€,"4,09€","$4,73",https://www.aliexpress.com/item/1005005237204588.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%205.24%21EUR%204.09%21%21EUR%204.09%21%21%21%40210388c917783391297743632e83aa%2112000032316669625%21ct%21FR%214694032608%21%211%210%21
"1/4"" 50mm coupling nut ","UNC nut, for tripod",1,"6,79€","2,09€","8,88€","$10,28",https://www.aliexpress.com/item/1005008622413040.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%206.79%21EUR%206.79%21%21EUR%206.79%21%21%21%40210388c917783392197194740e83aa%2112000045993770096%21ct%21FR%214694032608%21%211%210%21
Battery holder,2 parallel battery holder,1,"1,49€","0,00€","1,49€","$1,72",https://www.aliexpress.com/item/1005003099571328.html?spm=a2g0o.detail.0.0.3937TJlATJlAjh&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.17%21EUR%201.17%21%21EUR%201.17%21%21%21%4021038a8017812727345834476e1060%2112000035419280502%21ct%21FR%214694032608%21%211%210%21&_gl=1*5pbowh*_gcl_au*NjY1MTIwMjY0LjE3ODExNjU5OTQ.*_ga*MjA3MTkwMDI1LjE3NzI5MjIxNzY.*_ga_VED1YSGNC7*czE3ODEyNzI1NDEkbzg3JGcxJHQxNzgxMjcyNzMzJGoyMyRsMCRoMA..
Main slider PCB,"pack of 5, need 1",1,"1,73€","8,48€","10,21€","$11,81",https://cart.jlcpcb.com/shopcart/cart
Main controller PCB,"pack of 5, need 1",1,"3,46€",0€,"3,46€","$4,00",https://cart.jlcpcb.com/shopcart/cart
Controller keys PCB,"pack of 5, need 2",1,"3,46€",0€,"3,46€","$4,00",https://cart.jlcpcb.com/shopcart/cart
Resistors,4.7Kohm,2,0€,0€,"0,00€","$0,00",I already have those but you can find them anywhere on aliexpress
Capacitor,100nF decoupling cap for the IO expander,1,0€,0€,"0,00€","$0,00",I already have those but you can find them anywhere on aliexpress
Capacitor,100uF decoupling cap for the motors,1,"1,83€",0€,"1,83€","$2,12",10V 16V 25V 35V 50V 400V 450V DIP Aluminum Electrolytic Capacitor 100UF 220UF 330UF 470UF 680UF 1000UF 10UF 22UF 47UF 0.47UF - AliExpress 502
Elegoo PLA Matte,~500g,1,"17,99€",15€,"32,99€","$38,18",ELEGOO PLA MATTE Filament 1.75mm Colored 1KG
Elegoo PETG rapid,"~1,3kg, rolls of 1kg",2,"13,99€",0€,"27,98€","$32,38",RAPID PETG – ELEGOO FR
,,,,,,,
TOTAL :,,,,,"256,36€","$296,66",
